SampleID;PID;TripID;Sample;RouteURL;NewRouteURL;Sendes til Aarhus;DOFAtlasQuadrantID;LandUSeType;subLandUseType;decimalLatitudeStart;decimalLongitudeStart;decimalLatitudeEnd;decimalLongitudeEnd;geodecticDatum;Date;StartTime;EndTime;Wind;Temperature;Notes;PilotNotes;Difficultroute;FullySampled;NotFullySampledRoute;DidNotReturnSampling;MissingTemperature;MissingWind;MissingDate;MissingTime;IncompleteTime;DifferentDatesForRoute;IncompleteDate;NotFullRoute;AlternativeRoute
P104.1B;P104;1B;sa2;https://goo.gl/maps/G72e1Nhzu5M2;;;3652;skov;;;;;;;24-06-2018;17:32:00;17:54:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P104.2A;P104;2A;sa3;https://goo.gl/maps/n8a3tGFgRHs;;;3643;tør;overdrev;;;;;;28-06-2018;12:21:00;12:44:00;Light Breeze 1.6-3.3;25-30;;Saw many white butterflies;;yes;;;;;;;;;;;
P104.2B;P104;2B;sa4;https://goo.gl/maps/n8a3tGFgRHs;;;3643;tør;overdrev;;;;;;28-06-2018;17:19:00;17:40:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P105.1A;P105;1A;sa1;https://goo.gl/maps/nzNMBYjoTno;https://goo.gl/maps/o1SuYZ3qZAo;x;;skov;;;;;;;25-06-2018;13:05:00;13:22:00;Light Breeze 1.6-3.3;20-25;Got new route. Quadrant is not the same Original DF14, New DF04. Check whether land use information is the same as original route.;Clear sunshine, very gentle wind. Average speed 40 km/t;;yes;;;;;;;;;;;
P105.1B;P105;1B;sa2;https://goo.gl/maps/nzNMBYjoTno;https://goo.gl/maps/o1SuYZ3qZAo;x;;skov;;;;;;;25-06-2018;18:30:00;18:47:00;Light Breeze 1.6-3.3;25-30;Got new route. Quadrant is not the same Original DF14, New DF04. Check whether land use information is the same as original route.;;;yes;;;;;;;;;;;
P105.2A;P105;2A;sa3;https://goo.gl/maps/KAsa1Swd91r;;;4625;våd;mose, sø;;;;;;25-06-2018;13:48:00;14:08:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P105.2B;P105;2B;sa4;https://goo.gl/maps/KAsa1Swd91r;;;4625;våd;mose, sø;;;;;;25-06-2018;18:00:00;18:18:00;Light Breeze 1.6-3.3;25-30;Pilot noted 25 degrees - rounded up;;;yes;;;;;;;;;;;
P106.1A;P106;1A;sa1;https://goo.gl/maps/y5JDAe7CRpN2;;;4626;mark;intensive, extensive, semi-intensive;;;;;;03-06-2018;12:35:00;12:55:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P106.1B;P106;1B;sa2;https://goo.gl/maps/y5JDAe7CRpN2;;;4626;mark;intensive, extensive, semi-intensive;;;;;;03-06-2018;17:25:00;17:45:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P106.2A;P106;2A;sa3;https://goo.gl/maps/E5QSzDmBAzB2;;;4616;mark;intensive, extensive;;;;;;03-06-2018;13:15:00;13:36:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P106.2B;P106;2B;sa4;https://goo.gl/maps/E5QSzDmBAzB2;;;4616;mark;intensive, extensive;;;;;;03-06-2018;18:00:00;18:20:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P107.1A;P107;1A;sa1;https://goo.gl/maps/PZ4US6Bp37C2;https://goo.gl/maps/PZ4US6Bp37C2;x;4609;tør;overdrev;;;;;;09-06-2018;14:08:00;14:28:00;Light Breeze 1.6-3.3;20-25;Got new route. Original route not in this spreadsheet, but quadrant and land use information is the same;;;yes;yes;;;;;;;;;;
P107.1B;P107;1B;sa2;https://goo.gl/maps/PZ4US6Bp37C2;https://goo.gl/maps/PZ4US6Bp37C2;x;4609;tør;overdrev;;;;;;09-06-2018;18:17:00;;Light Breeze 1.6-3.3;20-25;God new route. Original route not in this spreadsheet, but quadrant and land use information is the same. No end time noted!;;;no;yes;;;;;yes;;;;;
P107.2A;P107;2A;sa3;https://goo.gl/maps/nmDCEQcpeqn;;;3698;tør;overdrev;;;;;;03-06-2018;13:17:00;13:30:00;Gentle breeze 3.4-5.5;25-30;Route only driven one-way;Unfortunately we did only drive the trip out and not back 2A+2B. We hope the sample is usefull after all.;;no;yes;;;;;;;;;yes;
P107.2B;P107;2B;sa4;https://goo.gl/maps/nmDCEQcpeqn;;;3698;tør;overdrev;;;;;;03-06-2018;19:07:00;19:19:00;Moderate breeze 5.5-7.9;20-25;"Route only driven one-way. Pilot noted the wind as ""jævn/frisk""";"""jævn"" to ""frisk"" wind";;no;yes;;;;;;;;;yes;
P108.1A;P108;1A;sa1;https://goo.gl/maps/LG3e4ToPLzG2;;;2591;tør;hede, overdrev;;;;;;12-06-2018;14:02:00;14:16:00;Gentle breeze 3.4-5.5;15-20;;cloudy but dry;;yes;yes;;;;;;;;;;
P108.1B;P108;1B;sa2;https://goo.gl/maps/LG3e4ToPLzG2;;;2591;tør;hede, overdrev;;;;;;12-06-2018;18:35:00;18:48:00;;;wind and temperature not sampled;;;no;yes;;yes;yes;;;;;;;
P108.2A;P108;2A;sa3;https://goo.gl/maps/WvURo1iMg8z;;;2590;tør;hede;;;;;;08-06-2018;13:48:00;13:59:00;Light Breeze 1.6-3.3;25-30;;Sunshine;;yes;;;;;;;;;;;
P108.2B;P108;2B;sa4;https://goo.gl/maps/WvURo1iMg8z;;;2590;tør;hede;;;;;;08-06-2018;18:02:00;18:13:00;Light Breeze 1.6-3.3;20-25;;sunshine;;yes;;;;;;;;;;;
P109.1A;P109;1A;sa1;https://goo.gl/maps/gVgoT8zAixS2;;;1694;tør;hede;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P109.1B;P109;1B;sa2;https://goo.gl/maps/gVgoT8zAixS2;;;1694;tør;hede;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P109.2A;P109;2A;sa3;https://goo.gl/maps/Y9VEEiLcTWE2;;;1693;våd, tør;mose, sø, hede;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P109.2B;P109;2B;sa4;https://goo.gl/maps/Y9VEEiLcTWE2;;;1693;våd, tør;mose, sø, hede;;;;;;;;;;;Pilot did not do the sample;;;no;yes;yes;;;;;;;;;
P11.1A;P11;1A;sa1;https://goo.gl/maps/MAaAKipVn8C2;;;4428;tør;overdrev;;;;;;09-06-2018;13:37:00;13:55:00;Gentle breeze 3.4-5.5;25-30;;cloudy;;yes;;;;;;;;;;;
P11.1B;P11;1B;sa2;https://goo.gl/maps/MAaAKipVn8C2;;;4428;tør;overdrev;;;;;;09-06-2018;18:14:00;18:32:00;Light Breeze 1.6-3.3;25-30;;cloudy;;yes;;;;;;;;;;;
P11.2A;P11;2A;sa3;https://goo.gl/maps/8Sd6vvwZMNT2;;;4429;tør;overdrev;;;;;;24-06-2018;12:25:00;12:50:00;Gentle breeze 3.4-5.5;20-25;Pilot noted 20 degrees - rounded up;Lots of butterflies in the fields along the route;;yes;;;;;;;;;;;
P11.2B;P11;2B;sa4;https://goo.gl/maps/8Sd6vvwZMNT2;;;4429;tør;overdrev;;;;;;24-06-2018;17:28:00;17:58:00;Gentle breeze 3.4-5.5;20-25;;Journalist Jan Skriver joined this route. He is writing for Åge V Jensens Fond.;;yes;;;;;;;;;;;
P110.1A;P110;1A;sa1;https://goo.gl/maps/pcB9dfQJVpL2;;;2632;urban;;;;;;;05-06-2018;12:18:00;12:40:00;Gentle breeze 3.4-5.5;25-30;;;;yes;;;;;;;;;;;
P110.1B;P110;1B;sa2;https://goo.gl/maps/pcB9dfQJVpL2;;;2632;urban;;;;;;;05-06-2018;18:14:00;18:24:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P110.2A;P110;2A;sa3;https://goo.gl/maps/pvaPwe3SPq12;;;2622;våd;eng, mose;;;;;;05-06-2018;13:17:00;13:30:00;Gentle breeze 3.4-5.5;25-30;Pilot noted 25 degrees - rounded up;;;yes;;;;;;;;;;;
P110.2B;P110;2B;sa4;https://goo.gl/maps/pvaPwe3SPq12;;;2622;våd;eng, mose;;;;;;05-06-2018;18:50:00;19:05:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P111.1A;P111;1A;sa1;https://goo.gl/maps/L2TKMgCQnSF2;;;2654;våd;eng;;;;;;28-06-2018;14:00:00;15:00:00;;25-30;Took an hour. Noted 1-9 as wind. P111 different dates. Difficult to understand what the pilot did!;;;no;yes;;;yes;;;;yes;;;
P111.1B;P111;1B;sa2;https://goo.gl/maps/L2TKMgCQnSF2;;;2654;våd;eng;;;;;;04-07-2018;18:50:00;19:45:00;Light Breeze 1.6-3.3;25-30;Took an hour. Drove in july. Difficult to understand what the pilot did!;;;no;yes;;;;;;;yes;yes;;
P111.2A;P111;2A;sa3;https://goo.gl/maps/h9FnP4xjnk52;;x;2645;våd;eng, mose;;;;;;26-06-2018;12:20:00;13:40:00;Gentle breeze 3.4-5.5;20-25;The samplingnotes of the pilot are a mess. Took over an hour!;No comments to the route. 3 bees in the net but not in the net-end;yes;no;yes;;;;;;yes;yes;;;
P111.2B;P111;2B;sa4;https://goo.gl/maps/h9FnP4xjnk52;;x;2645;våd;eng, mose;;;;;;11-07-2018;18:45:00;19:10:00;Gentle breeze 3.4-5.5;15-20;The samplingnotes of the pilot are a mess;Strange weather. Many dark clouds no rain. No visible insects. The route end by a private proberty :-(;yes;no;yes;;;;;;;yes;yes;;
P112.1A;P112;1A;sa1;https://goo.gl/maps/tnnWh2WPEem;;;3613;skov;;;;;;;30-06-2018;12:00:00;12:24:00;Moderate breeze 5.5-7.9;20-25;;Sunshine.;;yes;;;;;;;;;;;
P112.1B;P112;1B;sa2;https://goo.gl/maps/tnnWh2WPEem;;;3613;skov;;;;;;;30-06-2018;18:55:00;19:17:00;Moderate breeze 5.5-7.9;20-25;;Sunshine;;yes;;;;;;;;;;;
P112.2A;P112;2A;sa3;https://goo.gl/maps/FeqUUce1bxA2;;;3602;tør;hede;;;;;;29-06-2018;12:45:00;13:05:00;Gentle breeze 3.4-5.5;20-25;;Sunshine;;yes;;;;;;;;;;;
P112.2B;P112;2B;sa4;https://goo.gl/maps/FeqUUce1bxA2;;;3602;tør;hede;;;;;;29-06-2018;19:00:00;19:20:00;Gentle breeze 3.4-5.5;20-25;;Sunshine;;yes;;;;;;;;;;;
P113.1A;P113;1A;sa1;https://goo.gl/maps/hsBLfWxZ5bA2;;;4600;mark;intensive, semi-intensive;;;;;;;;;;;1A+1B is missing;;;no;yes;yes;;;;;;;;;
P113.1B;P113;1B;sa2;https://goo.gl/maps/hsBLfWxZ5bA2;;;4600;mark;intensive, semi-intensive;;;;;;;;;;;1A+1B is missing;;;no;yes;yes;;;;;;;;;
P113.2A;P113;2A;sa3;https://goo.gl/maps/8ZicV8cvM1S2;;x;3799;tør, mark;overdrev, intensive, extensive;;;;;;03-06-2018;14:09:00;14:21:00;Gentle breeze 3.4-5.5;20-25;Private road, needs revision in 2019;happend to put the bag back in the alcohol - sorry! Ps. We were stopped by a landowner, because it is a private road;yes;yes;;;;;;;;;;;
P113.2B;P113;2B;sa4;https://goo.gl/maps/8ZicV8cvM1S2;;x;3799;tør, mark;overdrev, intensive, extensive;;;;;;03-06-2018;18:56:00;19:23:00;Gentle breeze 3.4-5.5;20-25;Private road, needs revision in 2019. Pilot noted 20 degrees - rounded up;;yes;yes;;;;;;;;;;;
P114.1A;P114;1A;sa1;https://goo.gl/maps/MXg6GPR8rAr;;;3648;skov;;;;;;;24-06-2018;14:24:00;14:41:00;Light Breeze 1.6-3.3;20-25;;lovely trip. We saw a roe deer in the forest :-);;yes;;;;;;;;;;;
P114.1B;P114;1B;sa2;https://goo.gl/maps/MXg6GPR8rAr;;;3648;skov;;;;;;;24-06-2018;19:09:00;19:28:00;Gentle breeze 3.4-5.5;20-25;Pilot noted 20 degrees - rounded up;last trip. Met a hare in the forest. Maybe some dust from oncoming at gravel road;;yes;;;;;;;;;;;
P114.2A;P114;2A;sa3;https://goo.gl/maps/mzWxjjPStzk;;;3649;tør;overdrev;;;;;;08-06-2018;14:17:00;14:32:00;Light Breeze 1.6-3.3;25-30;;Nice catch. Difficult to get the large insects in the funnel;;yes;;;;;;;;;;;
P114.2B;P114;2B;sa4;https://goo.gl/maps/mzWxjjPStzk;;;3649;tør;overdrev;;;;;;08-06-2018;18:51:00;19:06:00;Gentle breeze 3.4-5.5;20-25;;Fine catch. Difficult to get the bee in the funnel :-) Lovely eveningtrip;;yes;;;;;;;;;;;
P115.1A;P115;1A;sa1;https://goo.gl/maps/qXCtwCqDF9s;;;3616;tør;hede;;;;;;08-06-2018;14:03:00;14:17:00;Gentle breeze 3.4-5.5;25-30;;Clear sky;;yes;;;;;;;;;;;
P115.1B;P115;1B;sa2;https://goo.gl/maps/qXCtwCqDF9s;;;3616;tør;hede;;;;;;08-06-2018;17:40:00;17:56:00;Gentle breeze 3.4-5.5;20-25;;some clouds in the sky;;yes;;;;;;;;;;;
P115.2A;P115;2A;sa3;https://goo.gl/maps/9fpWcUjGbRM2;;;3606;våd;mose, sø;;;;;;08-06-2018;13:25:00;13:40:00;Gentle breeze 3.4-5.5;25-30;;Clear sky;;yes;;;;;;;;;;;
P115.2B;P115;2B;sa4;https://goo.gl/maps/9fpWcUjGbRM2;;;3606;våd;mose, sø;;;;;;08-06-2018;18:14:00;18:29:00;Gentle breeze 3.4-5.5;20-25;Note! Pilot may have lived very long from the route. New route next year. Pilot noted 3-4 m pr s  wind - rounded up;Some clouds in the sky. I do now wait aggressively at the result :-). Driving 2 x 38 km = 76 km in all. Technique of good quality - works fine. About time spent: In all 2.5 hours driving and collection. To that preparation 1 hour + shipment 0.5 hour;;yes;;;;;;;;;;;
P116.1A;P116;1A;sa1;https://goo.gl/maps/q2kGKQwexyp;https://goo.gl/maps/5a9otLQDZjN2;x;2545;tør;overdrev;;;;;;03-06-2018;13:55:00;14:18:00;Gentle breeze 3.4-5.5;20-25;New route. Quadrant and landusetype fits original route;two bees and three flies in the big net as I removed the collectingbag. Saw a lot of white butterflies at the trip.;;yes;;;;;;;;;;;
P116.1B;P116;1B;sa2;https://goo.gl/maps/q2kGKQwexyp;https://goo.gl/maps/5a9otLQDZjN2;x;2545;tør;overdrev;;;;;;03-06-2018;17:55:00;18:13:00;Moderate breeze 5.5-7.9;15-20;New route. Quadrant and landusetype fits original route. Pilot noted gentle to moderate wind - rounded up;Sea fog from the North Sea came in at the end of the afternoon -> temperature has fallen + wind.;;yes;;;;;;;;;;;
P116.2A;P116;2A;sa3;https://goo.gl/maps/HQ8Yg5Cfpfr;;;2556;tør;hede;;;;;;03-06-2018;13:05:00;13:22:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P116.2B;P116;2B;sa4;https://goo.gl/maps/HQ8Yg5Cfpfr;;;2556;tør;hede;;;;;;03-06-2018;18:50:00;19:07:00;Moderate breeze 5.5-7.9;15-20;Pilot noted gentle to moderate wind - rounded up;Sea fog - temperature has fallen + wind;;yes;;;;;;;;;;;
P117.1A;P117;1A;sa1;https://goo.gl/maps/XanLPG2b5r22;;;3526;tør;tør, mark, våd;;;;;;12-06-2018;12:51:00;13:07:00;Gentle breeze 3.4-5.5;20-25;Pilot noted 20 degrees - rounded up;;;yes;;;;;;;;;;;
P117.1B;P117;1B;sa2;https://goo.gl/maps/XanLPG2b5r22;;;3526;tør;tør, mark, våd;;;;;;12-06-2018;18:58:00;19:14:00;Gentle breeze 3.4-5.5;15-20;;;;yes;;;;;;;;;;;
P117.2A;P117;2A;sa3;https://goo.gl/maps/DdFZJ3uowXA2;;;3536;tør;hede;;;;;;26-06-2018;13:37:00;13:57:00;Light Breeze 1.6-3.3;25-30;;;;yes;;;;;;;;;;;
P117.2B;P117;2B;sa4;https://goo.gl/maps/DdFZJ3uowXA2;;;3536;tør;hede;;;;;;26-06-2018;19:04:00;19:23:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P118.1A;P118;1A;sa1;https://goo.gl/maps/4hU9Az5nmsG2;https://goo.gl/maps/GPgc3n3wL682;x;3552;skov;;;;;;;02-06-2018;12:00:00;12:30:00;Light Breeze 1.6-3.3;25-30;Quadrant and landusetype fits original route;I have sent the link to the driven route after agreement with you. The route on the map is NOT driven;;yes;;;;;;;;;;;
P118.1B;P118;1B;sa2;https://goo.gl/maps/4hU9Az5nmsG2;https://goo.gl/maps/GPgc3n3wL682;x;3552;skov;;;;;;;02-06-2018;17:39:00;18:01:00;Light Breeze 1.6-3.3;25-30;Quadrant and landusetype fits original route;I have sent the link to the driven route after agreement with you. The route on the map is NOT driven;;yes;;;;;;;;;;;
P118.2A;P118;2A;sa3;https://goo.gl/maps/uubFt8XAAik;;;3551;tør;hede;;;;;;02-06-2018;12:55:00;13:15:00;Light Breeze 1.6-3.3;25-30;;;;yes;;;;;;;;;;;
P118.2B;P118;2B;sa4;https://goo.gl/maps/uubFt8XAAik;;;3551;tør;hede;;;;;;02-06-2018;17:04:00;17:23:00;Light Breeze 1.6-3.3;25-30;;;;yes;;;;;;;;;;;
P119.1A;P119;1A;sa1;https://goo.gl/maps/7XRaicgVY5z;;;4550;mark;intesive, extensive, markblok;;;;;;02-06-2018;13:00:00;13:15:00;Light Breeze 1.6-3.3;25-30;Pilot noted 1 m pr s and 25 degrees - both rounded up;;;yes;;;;;;;;;;;
P119.1B;P119;1B;sa2;https://goo.gl/maps/7XRaicgVY5z;;;4550;mark;intesive, extensive, markblok;;;;;;02-06-2018;19:00:00;19:15:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P119.2A;P119;2A;sa3;https://goo.gl/maps/A4uiwjre1Ns;;;4659;urban;;;;;;;09-06-2018;14:40:00;15:00:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P119.2B;P119;2B;sa4;https://goo.gl/maps/A4uiwjre1Ns;;;4659;urban;;;;;;;09-06-2018;18:45:00;19:10:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P12.1A;P12;1A;sa1;https://goo.gl/maps/AbbKjaNb9Av;;;4406;mark;intensive;;;;;;06-06-2018;14:00:00;14:20:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P12.1B;P12;1B;sa2;https://goo.gl/maps/AbbKjaNb9Av;;;4406;mark;intensive;;;;;;06-06-2018;19:15:00;19:35:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P12.2A;P12;2A;sa3;https://goo.gl/maps/cCLDW36f53p;;;3495;tør;overdrev;;;;;;06-06-2018;14:30:00;14:50:00;Light Breeze 1.6-3.3;20-25;;;;yes;;;;;;;;;;;
P12.2B;P12;2B;sa4;https://goo.gl/maps/cCLDW36f53p;;;3495;tør;overdrev;;;;;;06-06-2018;19:55:00;20:15:00;Gentle breeze 3.4-5.5;20-25;;;;yes;;;;;;;;;;;
P120.1A;P120;1A;sa1;https://goo.gl/maps/nYxCdhs87hy;https://goo.gl/maps/kYfoCRXhkGP2;x;3593;våd;sø;;;;;;05-06-2018;12:30:00;12:55:00;Gentle breeze 3.4-5.5;20-25;Pilot could not turn at the right point but drove 100 meters more, needs revision in 2019;We drove 100 meters longer along the lake, because it was not possible to turn over by the stream;yes;yes;;;;;;;;;;;?
P120.1B;P120;1B;sa2;https://goo.gl/maps/nYxCdhs87hy;https://goo.gl/maps/kYfoCRXhkGP2;x;3593;våd;sø;;;;;;05-06-2018;17:30:00;17:50:00;Light Breeze 1.6-3.3;25-30;Pilot noted 25 degrees - rounded up. Pilot could not turn at the right point but drove 100 meters more, needs revision in 2019;;yes;yes;;;;;;;;;;;?
P120.2A;P120;2A;sa3;https://goo.gl/maps/1ZiV1cmyuk82;https://goo.gl/maps/3RoaSwAARev;x;3583;skov;;;;;;;09-06-2018;12:30:00;12:50:00;Light Breeze 1.6-3.3;25-30;Pilot noted 25 degrees - rounded up. Route not possible needs revision in 2019;"The route was not passable in a normal car at ""Stenhusvej"". We drove another route in the same area. 9,6 km in all. See drawing at the map";yes;yes;;;;;;;;;;;?
